Data,E72870000,E72849000,E72810000,E72715000,E72680000,E72630000,E72430000
1985-04-01,"0,0058904762","0,0051545534","0,0060684229","0,0092381839","0,0129695902","0,01150235","0,0220631914"
1985-04-02,"0,0064809524","0,0052616664","0,0060684229","0,0091892677","0,0114178279","0,0103503643","0,0190250309"
1985-04-03,"0,0064809524","0,0045228214","0,0051880995","0,0084652364","0,0103639071","0,0094553286","0,0172159938"
1985-04-04,"0,0064809524","0,0048937043","0,0051880995","0,008606736","0,0150937541","0,0144091357","0,0202369877"
1985-04-05,"0,0035952381","0,0053494582","0,0060684229","0,0093845528","0,0237910874","0,0202126143","0,0300765123"
1985-04-06,"0,0043095238","0,0099438893","0,0117366766","0,0136154235","0,0211673005","0,0172379929","0,0269767778"
1985-04-07,"0,0019047619","0,0254335719","0,031409796","0,0281790498","0,0184140137","0,0149121643","0,0217581667"
1985-04-08,"0,0058904762","0,0151335072","0,0179675423","0,0182086873","0,0143696967","0,0131743679","0,0190250309"
1985-04-09,"0,0064809524","0,0115467951","0,0135048856","0,0147845042","0,0127425","0,01150235","0,0166154938"
1985-04-10,"0,0064809524","0,0095966887","0,0111674129","0,012965688","0,0114178279","0,0105778536","0,0151201173"
1985-04-11,"0,0074238095","0,0088877898","0,0100599453","0,0121698533","0,0107799918","0,0105778536","0,0142271543"
1985-04-12,"0,0071095238","0,0079618698","0,0089948905","0,0113307537","0,0101586202","0,0105778536","0,0136337284"
1985-04-13,"0,0067952381","0,0070213016","0,007973597","0,010505119","0,0097535683","0,0096768214","0,0130418765"
1985-04-14,"0,0031952381","0,005474842","0,0069975522","0,0095071568","0,0091598634","0,0088001179","0,0127465556"
1985-04-15,"0,0161666667","0,0085642102","0,0069975522","0,0103969723","0,0223164836","0,0124495286","0,0151201173"
1985-04-16,"0,0229380952","0,0242685526","0,0129055423","0,0182967072","0,1602958743","0,1320665357","0,0803008025"
1985-04-17,"0,0183","0,0300914281","0,0258640348","0,0275479809","0,1194032787","0,094263","0,0869209259"
1985-04-18,"0,0115238095","0,0243734711","0,0228732189","0,0236797805","0,0737551913","0,0644078929","0,0503209506"
1985-04-19,"0,0095238095","0,0167592057","0,0147327612","0,0170023155","0,0660044536","0,0536990357","0,0413872469"
1985-04-20,"0,008452381","0,0175076204","0,0173021393","0,0185137992","0,0495729781","0,0396635","0,0331958889"
1985-04-21,"0,0035952381","0,0125528451","0,0135048856","0,0150319057","0,0370819399","0,0284710607","0,0272858148"
1985-04-22,"0,0061666667","0,0088651767","0,0089948905","0,0116247592","0,0301078415","0,0224622607","0,0238986852"
1985-04-23,"0,0064809524","0,0078425373","0,007973597","0,0108100602","0,0229012568","0,020768375","0,0208446481"
1985-04-24,"0,0071095238","0,007807993","0,007973597","0,0107873586","0,0200453934","0,0188430643","0,0190250309"
1985-04-25,"0,0074238095","0,0069310943","0,0069975522","0,010012779","0,0181481557","0,01697465","0,0178177778"
1985-04-26,"0,0111238095","0,0075601985","0,0069975522","0,0102061211","0,0171020738","0,0156762571","0,0166154938"
1985-04-27,"0,0099238095","0,0064937287","0,0060684229","0,0094024374","0,0155852978","0,0149121643","0,0160163086"
1985-04-28,"0,0043095238","0,0061101842","0,0069975522","0,0097119075","0,0146092787","0,0139112821","0,0154185"
1985-04-29,"0,0080952381","0,0067869309","0,0069975522","0,0099419931","0,013661612","0,0134186786","0,0148220926"
1985-04-30,"0,0091666667","0,0095000551","0,0100599453","0,0123287806","0,013661612","0,0134186786","0,0145244383"
1985-05-01,"0,0053380952","0,0120053422","0,014113995","0,0151268998","0,0131984754","0,0124495286","0,0142271543"
1985-05-02,"0,0077380952","0,0091156958","0,0100599453","0,0121689747","0,0122937158","0,01150235","0,0130418765"
1985-05-03,"0,0077380952","0,0073769","0,007973597","0,0105680168","0,0114178279","0,0110372179","0,0124516543"
1985-05-04,"0,0071095238","0,00642509","0,0069975522","0,0097679859","0,0105710328","0,0105778536","0,011863142"
1985-05-05,"0,0029952381","0,0048661469","0,0060684229","0,0087718959","0,0101586202","0,0101243536","0,0112764012"
1985-05-06,"0,0061666667","0,004719162","0,0051880995","0,0082981848","0,0097535683","0,0096768214","0,0109837222"
1985-05-07,"0,0064809524","0,0047617816","0,0051880995","0,0083097685","0,0093559098","0,0094553286","0,0106915247"
1985-05-08,"0,0183","0,008637503","0,0069975522","0,0108084555","0,0163358033","0,0154203","0,0220631914"
1985-05-09,"0,1863095238","0,0628652992","0,0089948905","0,0290370119","0,4340989071","0,2881824286","0,1989077778"
1985-05-10,"0,1061904762","0,0465657249","0,0135048856","0,0276661244","0,3776726776","0,22502325","0,2276456173"
1985-05-11,"0,0607142857","0,0267224807","0,014113995","0,0230766676","0,1673921311","0,0961095","0,1749197531"
1985-05-12,"0,0395238095","0,0183693166","0,0106084577","0,0166295101","0,0808514208","0,0574677143","0,0763445679"
1985-05-13,"0,0278095238","0,0139714651","0,0089948905","0,0139583216","0,0462986885","0,0449400714","0,0480776852"
1985-05-14,"0,0214047619","0,0113288199","0,007973597","0,0124688497","0,0349215574","0,0364139286","0,0394873272"
1985-05-15,"0,0183","0,0104953762","0,007973597","0,0120780517","0,0307759016","0,0316153821","0,0344487716"
1985-05-16,"0,0147095238","0,0079235481","0,0060684229","0,0102175712","0,0271830219","0,0259656679","0,0306988704"
1985-05-17,"0,0124095238","0,007400364","0,0060684229","0,0099810224","0,0246960738","0,024195075","0,0279045247"
1985-05-18,"0,0115238095","0,0071456795","0,0060684229","0,0098479217","0,0229012568","0,0224622607","0,025742821"
1985-05-19,"0,0088095238","0,0058368566","0,0051880995","0,0089362881","0,0220266393","0,020768375","0,0242054506"
1985-05-20,"0,0103238095","0,0060942472","0,0051880995","0,0090073232","0,0211673005","0,0202126143","0,0232858642"
1985-05-21,"0,0088095238","0,0054239108","0,0047669109","0,0085402697","0,020602929","0,0191146786","0,0220631914"
1985-05-22,"0,0088095238","0,0053576124","0,0047669109","0,0084890597","0,0197691967","0,0177682821","0,0208446481"
