Longitude,Latitude
230891.1430,7068446.6700
231314.6010,7068856.0700
230633.5500,7069045.8300
230184.1520,7068165.9700
229990.2240,7068962.2500
229362.2560,7069290.6500
230455.5470,7070171.9100
231089.3200,7069559.3400
231176.5700,7071047.5100
230605.2080,7071605.5900
230400.2500,7072545.5400
231140.8290,7072673.9000
231120.2510,7072130.7100
231951.5360,7072347.3500
231921.6680,7074027.3200
231445.4310,7073854.9900
230921.1460,7075438.0700
230181.7580,7075515.8100
230154.8470,7076162.9700
230617.0510,7076186.9600
231035.5890,7076891.0400
230004.5150,7077624.4900
229725.7670,7078515.7700
230567.9220,7078523.3700
230890.2590,7079470.2100
230493.4010,7080138.7800
230631.9000,7081196.9800
231592.4500,7081673.7000
230993.8020,7082155.1400
231641.7970,7082266.4800
232016.2410,7084239.6600
232879.1590,7084404.7000
232787.0940,7084827.0000
233392.1360,7084934.1100
233168.0430,7085577.4800
233553.5740,7085489.4900
233473.3040,7086131.5900
233929.2610,7086371.7400
234754.0210,7088598.6200
235869.2510,7089748.4000
235955.1900,7091268.4800
236219.0230,7092755.8500
235926.6400,7093583.2900
237756.7020,7092813.2200
238251.5470,7093176.4400
239347.5750,7093019.2300
241615.1860,7093371.3800
242315.9740,7091360.7600
243305.6590,7091200.4100
244822.1230,7090035.2000
245036.4550,7089595.1700
245108.9560,7089446.3600
245221.7670,7089371.7500
248170.2540,7089426.3400
250685.8100,7088360.6500
252507.9970,7089441.1700
252591.0440,7089497.6300
253059.2470,7089816.3700
254264.8450,7089274.9200
256247.9520,7090888.1300
257110.5910,7091163.0900
257994.9780,7091444.9500
258282.5000,7091568.4800
261745.2960,7094844.7700
262233.5570,7094534.9000
262707.7080,7095325.8800
263881.2270,7094256.1400
264622.7420,7094567.2600
265200.5180,7093934.0200
265730.9160,7094759.1200
265770.8010,7094821.1800
266645.2470,7094571.5800
266716.3490,7093965.2400
268304.2100,7094072.3600
269149.2510,7093524.2900
269701.7740,7093488.5800
272113.5700,7095001.5300
272201.3430,7094936.1400
272264.5590,7093520.4600
272930.7260,7093433.1600
274355.0280,7091323.3500
274127.7820,7090402.1900
274871.7490,7090233.9600
275129.3650,7089226.1000
275762.9700,7089390.0800
