Cdigo,1,2,3,4,5,6,7,8,9,10,11,12,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2651010,"175,996666","170,036667","152,913332","117,413333","142,819999","125,506667","129,923333","99,266667","152,646666","203,853333","161,883334","155,366666","1787,626663","501,399999","413,146664","381,836666","518,383333","7054152,48","466849,701",1137
2651013,"155,613333","156,583335","133,829999","121,533333","155,226667","130,310001","139,1","109,663333","161,169999","193,743331","150,453333","152,926666","1760,153329","465,123334","410,589999","409,933332","505,366663","7103168,61","470247,828",813
2651015,"174,966667","159,603333","143,206666","130,766666","166,456668","140,503334","143,806665","109,250001","176,356666","227,273331","172,51","185,21","1929,909997","519,78","440,43","429,413332","576,139997","7105732,01","445035,147",910
2651020,"163,330001","156,87","136,030001","125,966666","163,853333","140,36","143,693333","112,066667","171,583333","209,36","156,756668","161,636667","1841,506669","481,836668","425,85","427,343333","537,700001","7107632,62","460020,244",950
2651022,"187,666665","171,786207","131,103334","149,007142","171,382142","156,031035","159,435715","124,5","172,493103","232,339285","185,265515","158,386208","1999,396353","517,83908","451,492618","456,428818","590,097903","7056600,48","412222,748",1181
2651023,"180,94","162,850001","154,113332","130,573333","172,466666","144,333332","149,586667","108,473333","176,713334","221,76","173,796667","193,48","1969,086665","537,270001","457,153331","434,773334","572,270001","7111262,33","443345,361",866
2651026,"174,027585","173,960714","147,586207","118,410714","147,417859","123,217242","127,4","115,420689","147,035715","201,372414","153,886207","162,189999","1791,925344","510,178298","413,41478","389,856404","502,294336","7071106,69","457336,973",1147
2651035,"162,713335","181,603334","131,046667","153,556666","167,940001","159,293333","156,626666","121,600001","167,479999","240,250001","166,846667","190,233335","1999,190004","534,550004","452,543334","445,706666","574,576667","7083408,27","413535,404",1146
2651036,"174,526667","174,976666","139,379999","117,5","143,731034","123,42069","125,896667","106,893333","142,276667","195,64138","165,648277","149,963333","1759,854713","499,466666","400,611033","375,066667","503,566324","7038355,34","473877,487",1052
2651040,"205,513332","189,803334","145,570001","177,839999","177,699998","165,436668","173,143334","136,133333","181,736666","244,333335","193,289999","179,520001","2170,020001","574,836667","501,109998","491,013333","619,36","7028468,82","398756,885",1077
2651043,"180,15","179,567857","134,510714","168,010712","190,707145","171,378571","157,5","126,360716","184,800001","253,689286","166,560715","185,414287","2098,650004","545,132144","493,228571","468,660716","605,050002","7070402,75","401993,897",1092
2652001,"175,373333","173,155174","134,133333","150,07931","145,017241","151,675861","144,341379","134,136667","167,072414","222,976665","160,923333","157,096667","1915,981377","505,625174","429,229884","445,55046","550,972412","7018266,13","382624,098",635
2652002,"180,20357","177,175862","127,967858","152,193105","169,827585","146,135715","136,731034","113,277778","166,54815","249,564285","155,040739","167,126667","1941,792347","524,506099","449,988548","416,556961","571,153174","7058594,5","336651,437",521
2652010,"180,46","166,886668","131,736667","153,896667","162,516667","159,126667","150,983334","117,926669","185,309999","243,139999","158,366666","174,200001","1984,550004","521,546669","448,150001","454,220002","586,816664","7070389,92","400332,664",1073
2652011,"178,033335","165,286667","114,940001","158,433333","172,693335","152,916667","141,640001","122,636666","164,61","232,813332","173,669999","156,230002","1933,903337","499,550004","446,066669","428,886667","571,093331","7084595,72","343667,403",886
2652012,"186,029999","171,046667","128,143334","152,696666","188,090002","164,476666","139,74","117,786666","167,329999","238,433333","180,123333","166,313333","2000,21","523,389999","468,930002","424,856666","585,886665","7093523,8","320250,768",796
2652013,"184,483332","171,923335","126,383334","149,603333","197,190001","167,206667","152,623332","122,213333","169,81","229,783334","180,293333","158,479999","2009,993333","514,886666","473,176668","444,646665","579,886667","7097373,18","331855,353",820
2652015,"174,163332","176,926667","132,103333","165,421428","190,553572","163,034482","152,473334","125,72","162,517241","230,868964","183,517241","170,732142","2028,031738","521,822141","488,078333","440,710576","576,903446","7092864,2","370588,562",812
2652021,"183,033333","182,360001","128,273334","151,7","158,996666","146,343334","130,666667","119,04","155,093332","229,286667","171,666668","158,963333","1915,423337","524,356667","438,97","404,799999","556,046667","7041371,46","311004,718",358
2652025,"183,28","174,25","122,409999","152,773336","188,656668","162,876666","143,273333","123,283332","170,3","237,19","181,65","172,636666","2012,58","530,166666","463,840003","436,856665","589,14","7088097,93","328647,616",792
2652031,"186,656668","189,913333","135,633331","162,083332","197,303333","165,386666","150,109999","129,02","184,030001","247,106667","176,193333","173,27","2096,706661","549,840001","495,019996","463,16","607,330001","7084207,63","316581,453",862
2652033,"172,57","173,600001","125,863334","155,056667","185,85","166,733335","146,733333","119,563332","169,733334","242,399999","182,963332","176,363332","2017,429998","522,533333","466,770001","436,029999","595,096665","7097728,92","340510,72",739
2653001,"163,368965","175,725","139,835714","149,6","172,310343","159,686207","144,503448","115,020689","168,234483","223,207142","175,69","163,583333","1950,765324","502,677298","461,746057","427,75862","567,131625","7073161,16","292576,509",906
2653002,"170,346428","204,248149","155,999999","163,839286","200,81111","162,081482","148,046428","127,42143","183,310343","250,917239","206,272413","173,20345","2146,497758","547,798027","520,650395","458,778201","640,499995","7092276,99","238248,82",804
2653003,"179,406667","190,46","134,620689","157,189653","159,223333","146,7","138,179311","126,389655","162,259998","241,059999","159,289998","168,263332","1963,042637","538,129999","451,033675","426,828964","562,609995","7035996,56","295944,348",461
2653004,"176,076667","190,036667","141,66","163,943333","167,629999","166,589998","137,21","127,503333","166,63","249,443334","173,969999","185,306669","2045,999999","551,420003","473,233332","431,343333","590,043333","7046800,48","272317,355",344
2653005,"178,59","202,743333","149,49","172,779999","181,646666","169,543333","147,666667","111,613333","174,513333","253,146668","185,266665","172,766666","2099,766665","554,099999","503,916665","433,793334","612,926666","7071560,06","251060,542",707
2653007,"153,199999","178,999998","121,069999","140,800001","134,683333","151,370001","130,520001","108,24","166,216667","203,443331","150,003332","139,603333","1778,149994","471,80333","396,553333","404,976668","519,66333","7020094,24","300644,618",272
2653019,"167,446668","177,243334","125,733334","160,946667","181,290001","160,153334","138,836667","112,736666","168,753333","233,266665","179,086666","169,42","1974,913334","514,110002","467,970002","420,326667","581,106664","7096599,58","280232,656",685
2653021,"185,093334","185,719999","138,989999","153,166667","170,316667","171,393333","144,473333","115,62","173,163334","240,566667","188,583334","178,399999","2045,486666","549,213332","462,473333","433,256668","602,313335","7097934,64","251883,55",615
2653022,"175,55","185,566666","126,556667","164,649998","171,28667","171,446666","143,440001","111,733334","172,033333","228,846667","184,813334","174,88","2010,803335","535,996666","462,493335","427,206667","585,693334","7080819,69","296001,944",919
2653023,"173,213333","183,946666","140,343332","162,019999","182,543334","168,183333","148,286668","112,853333","174,646666","242,826666","192,356666","179,413334","2060,633329","536,573333","484,906665","435,786667","609,829998","7085491,27","278757,151",887
2748000,"228,803704","187,282143","149,628572","102,464286","93,825926","86,860714","105,525","97,328571","142,532143","155,003572","136,489655","176,37931","1662,123596","592,465157","345,918784","345,385714","434,02537","7000707,26","706432,193",28
2748001,"208,961539","195,144444","129,548147","91,311111","92,381481","73,248148","100,603571","97,548148","141,048148","142,596297","124,318519","158,425926","1555,13548","562,531909","313,240739","339,199868","407,962964","6966014,58","702392,518",42
2748003,"234,476668","214,453334","153,263333","112,863334","105,873334","87,05","121,363333","102,499999","157,03","161,463334","136,226666","186,106669","1772,670004","635,036671","372,000001","380,893333","454,72","6957761,03","698769,473",218
2748016,"272,766666","244,266666","186,086668","115,823333","103,186665","78,266666","108,746666","95,548276","160,355173","176,865517","157,310345","215,141381","1914,364022","732,174713","405,096666","364,650115","494,531035","6954313,45","720317,649",34
2748017,"222,583332","250,386666","166,386667","124,993333","141,193334","88,333332","112,05","90,166666","158,086665","171,573333","154,800001","213,156667","1893,709997","686,126665","432,573334","360,303331","484,459999","6905474,65","728592,682",5
2748018,"223,996667","240,929998","171,579999","90,776666","100,980001","86,43","116,123334","100,156667","127,923335","136,77","138,643334","198,036667","1732,346668","662,963332","363,336666","344,203336","403,336669","6912009,02","704286,566",430
2749000,"197,316665","158,266667","134,856667","84,706667","109,653333","94,653333","120,163333","98,453334","139,213333","169,953333","129,716666","152,936668","1589,889999","508,52","329,216667","357,829999","438,883332","7008325,29","659200,297",95
2749001,"180,165518","147,189655","106,875862","83,127586","107,023333","91,149999","116,543334","91,919999","133,066667","165,236665","126,34","143,063332","1491,701951","470,418505","297,026781","341,530001","424,643332","7006719,14","647109,894",160
2749002,"170,923334","158,566667","91,853334","106,093333","111,553334","97,296666","138,383334","113,903333","140,510001","156,553334","129,46","149,803333","1564,900003","479,293334","309,500001","392,796668","426,523335","6968631,04","637840,528",368
2749003,"195,6","178,310345","138,013793","92,403449","114,917242","93,4","118,246665","99,096667","131,62","180,663334","146,144828","165,696553","1654,112875","539,606898","345,334484","348,963332","458,428162","7000633,4","599670,473",378
2749005,"170,676667","137,516667","95,21","81,173333","107,736667","93,546667","121,186667","94,353333","121,743333","155,203333","119,316667","127,490002","1425,153335","435,683336","284,12","337,283333","396,263333","7008987,21","639888,197",284
2749006,"167,793332","168,843335","121,73","90,75","109,439999","86,663333","121,636667","103,416667","133,993334","158,576666","140,803334","146,400001","1550,046669","483,036668","321,919999","359,046668","433,373334","6984619,89","604849,816",356
2749007,"185,616667","157,950001","99,843333","89,13","106,84","96,926668","142,956667","113,483334","145,826667","156,063334","127,21","134,746667","1556,593337","478,313335","295,813333","402,266667","429,100001","6931586,81","659416,475",828
2749012,"223,736667","261,366668","179,716667","111,723334","116,276668","90,606666","121,836667","106,003335","141,636666","154,303334","149,676667","197,53","1854,413337","682,633335","407,716669","369,476667","445,616667","6901754,53","685391,643",320
2749013,"175,076666","149,473335","104,053333","92,976667","104,15","94,183334","123,606668","105,090001","134,556666","156,846666","133,023333","137,539999","1510,57667","462,09","301,18","363,253335","424,426665","6980802,2","621836,321",342
