Longitude,Latitude
640880.9182,6934028.3322
641072.3120,6934034.5007
641224.2501,6934077.9992
641723.5627,6934069.5000
641953.6248,6934017.5013
642122.8746,6933939.0015
642224.9060,6933791.4984
642361.6253,6933682.9994
642526.5620,6933661.4985
642691.4998,6933543.9996
642934.5625,6933427.0005
643372.9994,6933496.4983
643623.6255,6933579.9983
643959.5630,6933185.4993
644008.3136,6933034.5002
644105.7503,6932901.5000
644265.2495,6932835.5012
644544.3745,6932928.4998
644987.4378,6932848.4988
645377.3760,6932729.0001
645566.3746,6932711.0012
645748.0630,6932586.9999
646009.4379,6932232.5014
646040.4692,6931986.4997
646283.5617,6931708.0004
646545.9679,6931556.9993
646968.5942,6931747.4991
647198.4996,6931744.9996
647421.4059,6931696.2500
647588.6262,6931796.2497
647814.6148,6931753.5141
647956.9375,6931550.0003
648222.0623,6931347.9989
648466.2505,6931263.9991
648668.5622,6931277.9992
649017.4369,6931340.9998
649198.8129,6931424.4998
649373.2503,6931571.0005
649533.6875,6931661.4995
650122.1875,6931577.9995
650338.5003,6931654.4995
650558.7310,6931785.4926
650557.9999,6931777.0006
650725.1248,6931177.4988
650750.3122,6931015.4989
650752.0120,6930961.1132
650753.5941,6930910.4836
650758.3127,6930759.4999
650765.2831,6930745.4793
650836.8750,6930601.4988
650851.3912,6930535.6699
650873.8137,6930433.9990
650936.9372,6930244.4996
651012.8115,6930062.4989
651102.1258,6929901.4995
651108.1561,6929772.9998
651089.3750,6929735.9996
651013.4689,6929658.2381
650941.0004,6929584.0001
650943.0003,6929540.4986
651111.6951,6929538.2847
651133.3752,6929537.9990
651274.8121,6929443.5002
651456.6254,6929415.4999
651598.5620,6929494.4995
651657.2188,6929495.7508
651715.8745,6929497.0001
651908.6251,6929013.0003
651910.9025,6928996.8058
651988.1879,6928447.4994
652042.4077,6928443.7505
652096.6254,6928439.9996
652266.0001,6928519.4999
652720.9265,6928534.1789
652988.6871,6928535.9986
653503.1252,6928354.4997
654184.7498,6928708.4996
654921.2495,6928194.9994
655231.0628,6927802.5002
655230.9041,6927788.8247
655229.1254,6927635.9988
655021.8760,6927411.5002
654737.8747,6927239.0002
654683.3129,6927050.5002
654687.4150,6927041.9427
