Estat	Longitude	Latitude	mu_ANO	sigma_ANO	mu_DJF	sigma_DJF	mu_MAM	sigma_MAM	mu_JJA	sigma_JJA	mu_SON	sigma_SON
E83345000	595278,92	7056644,94	-4,4998784974	1,0245045259	-4,4038125148	1,0035573062	-4,7303493228	0,9566670417	-4,567478109	1,0272735511	-4,2938067909	1,0544827161
E83440000	611721,63	7038382,01	-4,3635337446	0,9102562776	-4,3000305817	0,888907068	-4,6105648343	0,8657301327	-4,3942295651	0,9020405671	-4,1457346754	0,9206394412
E83520000	621414,17	7002894,78	-4,2683511444	0,846002644	-4,1767511257	0,8562436167	-4,4660966092	0,7770450787	-4,3441868041	0,835976557	-4,0826087072	0,8605015502
E83660000	645905,16	7043055,93	-4,166623291	0,9448145203	-3,9959758198	0,9452494813	-4,2785496577	0,8873469151	-4,4154060906	0,9739021893	-3,9711913236	0,8941864455
E83675000	661828,62	7055865,95	-3,628944576	0,6309132032	-3,462200423	0,6180497525	-3,6039901679	0,5326093513	-3,845078474	0,6518986879	-3,6010341006	0,652835514
E83677000	653520,73	7046085,33	-3,9508025316	0,7092831274	-3,7713202203	0,7104069243	-3,9831725265	0,6171097259	-4,1710028965	0,7143617022	-3,8734597348	0,7278610317
E83690000	621414,17	7003154,45	-3,9914825635	0,7890470124	-3,88115954	0,7900035086	-4,1513814224	0,7133783698	-4,0980073799	0,7899532454	-3,8315449232	0,8121666425
E83800002	626779,69	7012935,07	-3,9283535775	0,7596804741	-3,8102094711	0,7628091475	-4,064071769	0,6923814038	-4,0521789885	0,7774507535	-3,7831282386	0,757967495
E83880000	700685,34	7045479,45	-3,2052799837	0,7945561272	-2,9867036417	0,7362289052	-3,3521744435	0,9286050349	-3,3763899274	0,7727792138	-3,100555915	0,6411600024
E83892990	660963,22	6965330,26	-4,3070817624	1,0118005624	-4,198432112	0,9464482141	-4,5661040992	1,0088302074	-4,3761767928	1,0266424062	-4,083112896	0,9957997137
E83892998	667626,84	6977447,85	-4,1977007708	0,6675182372	-4,0480154807	0,6473714517	-4,3192648718	0,6027827416	-4,3201941614	0,6745444656	-4,0994129488	0,6953170309
E83900000	677925,17	6983333,53	-4,0168610388	0,591772454	-3,907055956	0,5884944607	-4,1203702099	0,4878080852	-4,0912658327	0,6164477686	-3,9458920712	0,6355619127
E84071000	689852,44	6950525,49	-3,84830125	0,6236398058	-3,6665257124	0,6042930242	-3,9017773327	0,4952637024	-3,988455652	0,698163124	-3,8328657438	0,6343168439
E84095000	681370,84	6967921,44	-4,0386090099	0,7615857988	-3,9016845351	0,6156109463	-4,0589356504	0,4876308637	-4,1434076305	0,8904808014	-4,047938919	0,9380524126
E84095500	689852,44	6959439,83	-3,849894665	0,6367191495	-3,7360264504	0,6582993969	-3,9018074864	0,5812504225	-3,9203723105	0,6820418438	-3,8391174267	0,6040182876
E84100000	704825,07	6931658,24	-3,6840291741	0,595249615	-3,4940151401	0,6206865353	-3,6484053805	0,5178371148	-3,8994364638	0,5456427026	-3,6907389	0,6196174635
E84249998	652464,14	6868565,48	-4,0974189164	0,9585778519	-3,668302372	0,8173554868	-4,1091516008	0,8568372991	-4,6113202321	1,028848134	-3,991719576	0,8673142881
E84300000	657916,6	6863286,11	-3,9146583879	0,864845705	-3,4969429099	0,8549195201	-3,8862218713	0,7486008574	-4,3387137989	0,7187260358	-3,9290923087	0,9124234823
E84520000	686823,3	6915993,24	-3,6168816653	0,5156215696	-3,4289905317	0,5633768639	-3,5721106575	0,4319973801	-3,8172882138	0,446860447	-3,6459357783	0,5322333289
E84520010	682409,4	6912964,09	-3,6518792488	0,6116119367	-3,4017501215	0,6314617766	-3,60807992	0,5091993569	-3,9154820925	0,5569098957	-3,6778042862	0,6287527576
E84551000	665792,38	6886307,61	-3,582322355	0,8568654418	-3,2997405614	0,8990810021	-3,5290837022	0,762274456	-3,8618540816	0,8202320129	-3,6338816251	0,8449208608
E84559800	681370,84	6904309,39	-4,1264515239	0,8622152834	-3,8644104667	0,9381000992	-4,0342993803	0,730903418	-4,3776345177	0,748104652	-4,2256344482	0,9245656454
E84560000	676956,94	6894962,31	-3,8267866337	0,7585877334	-3,5043164096	0,8900855619	-3,738924185	0,6508105018	-4,1416749639	0,5821781279	-3,9171768989	0,7305418254
E84580000	670725,56	6882499,55	-3,91516014	0,6660148977	-3,6094699417	0,7078777382	-3,8734198076	0,5944175526	-4,2106677315	0,5523811584	-3,9618683153	0,6578697785
E84598002	702055,57	6901626,43	-3,7649348575	0,5092297206	-3,5950717507	0,6226822954	-3,6662901296	0,4411257652	-3,9388357091	0,396070063	-3,8573667301	0,4725880538
E84800000	636452,94	6838447,12	-3,3364711259	1,0411207356	-2,9247873278	0,947090093	-3,4298729112	1,0019967856	-3,7615321575	0,9988149027	-3,220601715	1,0317037138
E84820000	648136,79	6838706,76	-4,0799061502	1,2724949614	-3,7887399902	1,4118968064	-4,1515419537	1,1497877285	-4,255566288	1,1299471627	-4,1186591101	1,3314946491
E84853000	625115,29	6822089,74	-4,2248725472	1,4697161844	-4,1798936369	1,8456602228	-3,9904704508	1,1531322467	-4,278031669	1,0769576523	-4,452715408	1,6316599256
E84949000	610056,11	6811963,74	-4,6688361153	1,9170225004	-4,5224432165	2,1833183116	-4,5798703237	1,7311344394	-4,8635510502	1,7210677951	-4,7071112573	1,9822601271
E84970000	590756,13	6763843,61	-3,6815457312	1,1966580081	-3,4024315039	1,1921989323	-3,9047545256	1,0954605958	-3,9521532567	1,1591862161	-3,4590801795	1,2309184851
E86100000	579701,61	6803041,13	-4,089968486	0,9795436051	-4,1167223238	0,9177711439	-4,3839285223	0,9745161117	-3,9806017679	1,0042155021	-3,8702957361	0,9415988545
