Longitude,Latitude
231035.58895,7076891.04205
230004.51572,7077624.49936
229725.76772,7078515.77002
230567.92231,7078523.37846
230890.25969,7079470.21507
230493.40135,7080138.78799
230631.90040,7081196.98931
231592.45067,7081673.70165
230993.80255,7082155.14209
231641.79746,7082266.48116
232016.24172,7084239.66934
232879.15928,7084404.70929
232787.09447,7084827.00465
233392.13623,7084934.11525
233168.04299,7085577.48424
233553.57495,7085489.49498
233473.30476,7086131.59036
233929.26151,7086371.73999
234754.02192,7088598.62255
235869.25187,7089748.40133
235955.18996,7091268.48443
236219.02385,7092755.85330
235926.64080,7093583.29352
237756.70238,7092813.22368
238251.54703,7093176.44938
239347.57523,7093019.23968
241615.18650,7093371.38529
242315.97494,7091360.76797
243305.65987,7091200.41410
244822.12361,7090035.20981
245036.45568,7089595.17530
245108.95674,7089446.36188
245221.76719,7089371.75725
248170.25431,7089426.34919
250685.81041,7088360.65782
252507.99736,7089441.17269
252591.04446,7089497.63678
253059.24789,7089816.37253
254264.84579,7089274.92573
256247.95287,7090888.13214
257110.59163,7091163.09182
257994.97820,7091444.95633
258282.50057,7091568.48446
261745.29646,7094844.77973
262233.55709,7094534.90147
262707.70809,7095325.88822
263881.22743,7094256.14047
264622.74243,7094567.26841
265200.51828,7093934.02477
265730.91668,7094759.12922
265770.80113,7094821.18366
266645.24760,7094571.58582
266716.34902,7093965.24623
268304.21084,7094072.36634
269149.25106,7093524.29463
269701.77424,7093488.58123
272113.57016,7095001.53050
272201.34351,7094936.14361
272264.55963,7093520.46087
272930.72684,7093433.16432
274355.02815,7091323.35814
274127.78205,7090402.19307
274871.74923,7090233.96992
275129.36564,7089226.10636
275762.97034,7089390.08117
277266.69567,7087765.68501
279719.71936,7086032.03679
279888.60962,7085936.52780
280658.48988,7085909.99844
281995.63476,7084380.96578
283520.40500,7083933.83834
284174.56159,7083582.62157
284347.81581,7083639.76861
285083.75204,7084405.45696
285858.50534,7084241.28129
286405.06276,7082970.66960
286923.44482,7082771.33539
287197.88012,7081871.71151
288033.20883,7081111.37441
289537.90297,7080859.72215
289739.13747,7080342.13359
290424.46917,7080069.48442
291061.84349,7080179.93660
291448.49108,7079368.60627
292454.17436,7079588.67335
295801.97555,7080522.75287
297680.57540,7081778.99968
301381.31078,7084253.63067
301799.80344,7084303.17225
