"","nomes","ANO","DJF","MAM","JJA","SON","areas"
"20","E71200000",0.482223703395549,0.47740671421129,0.486900961187578,0.450634794593821,0.450458666716363,1010
"21","E83675000",0.600935681684864,0.554544619070488,0.613954040724339,0.578561393414123,0.550994532347318,536
"22","E83345000",0.369212066195539,0.355082486388419,0.370666276932692,0.342578285781786,0.348769959068595,1430
"23","E83029900",0.356978536883251,0.330521692221543,0.37913949364846,0.361600892305386,0.309836336313677,648
"24","E83660000",0.412438017004683,0.368316569944378,0.42190514882739,0.410611992286706,0.368001999094685,717
"25","E83800002",0.468521058240843,0.429864536731094,0.48406332164604,0.455591002733992,0.437108212092601,11803
"26","E83892998",0.542068751198265,0.487215786175707,0.565326323538146,0.534663674553516,0.512800572489249,827
"27","E83900000",0.624487593273744,0.565313678245397,0.664723378817233,0.616059397589549,0.571674967540432,1240
"28","E83440000",0.433704786142496,0.411112339836776,0.430351230302223,0.409484505775388,0.410306934793516,3330
"29","E83690000",0.484560661738916,0.443409030403506,0.506795738434477,0.473819084832983,0.446366844392635,9850
"30","E83250000",0.426573123130143,0.390887559847298,0.431305903976744,0.410511354380153,0.408411382998883,1650
"31","E83880000",0.577133124866677,0.473449168535984,0.60302081795623,0.60836343388262,0.544363011944786,104
"32","E83300200",0.479459559280794,0.432196572415359,0.497078484695756,0.477444397892428,0.442385778056539,5160
"33","E83892990",0.389772687924152,0.344496443695059,0.416431192346947,0.380891988671218,0.362835121251466,286
"34","E83105000",0.366001950607412,0.336759698960784,0.396739346899771,0.394456993749605,0.317444222033418,434
"35","E83050000",0.338589242823224,0.284977917834073,0.34145934018837,0.341177644693952,0.321164263510857,1570
"36","E83677000",0.525044309110774,0.476679415901896,0.552413770355738,0.514128385810456,0.479702715241747,1600
"37","E83069900",0.353449989322196,0.343749000045465,0.375105821805355,0.353568712901099,0.299262419807603,397
"38","E83520000",0.459312500052828,0.417748398293292,0.473847561332842,0.451782846203602,0.42372422310728,9790
"39","E74320000",0.278106261547704,0.266336236942371,0.238664315799062,0.286090948557965,0.259644941256161,609
"40","E74295000",0.2481664186797,0.256193889981702,0.227326925905599,0.230135210186106,0.24070426908763,300
"41","E74100000",0.474977031208374,0.494702941927532,0.441449530302434,0.44072307096617,0.4548794728235,61900
"42","E74270000",0.396148582227099,0.444433513634925,0.338073335394114,0.367636338301251,0.377638104629798,5340
"43","E84820000",0.252231368405345,0.210491452364279,0.252649605686735,0.318965091392828,0.200465372923112,526
"44","E84853000",0.256765590270865,0.170805939777046,0.30973580561311,0.332526790432781,0.183631580415763,355
"45","E84800000",0.448694338303871,0.374480895845728,0.450387737167469,0.485814374987947,0.415188739563694,119
"46","E84949000",0.206578116637592,0.157963853823789,0.261327365402806,0.238403622782526,0.135725070064313,359
"47","E65925000",0.450575673570227,0.488841765053508,0.397410306963855,0.439226314886669,0.42279021800832,1660
"48","E73900000",0.314670628145455,0.298532650944295,0.282881914194966,0.318237825269174,0.2952621078011,418
"49","E73770000",0.460070214131166,0.492518551030726,0.413790153778899,0.442478131254312,0.429134825816315,5550
"50","E73765000",0.184943452372088,0.193537244302552,0.165700150911817,0.186393387773957,0.17366869360281,266
"51","E73820000",0.224754044631765,0.219941493092814,0.196055715569292,0.231635611395997,0.218606795182423,1010
"52","E73780000",0.186862859100688,0.183642925689281,0.160915198882473,0.187875499029657,0.184489472137382,642
"53","E73690001",0.487406622311964,0.534538156636896,0.448568773537124,0.453469961545658,0.456428938827528,740
"54","E73960000",0.413668084601576,0.42759794494873,0.371242257266727,0.400349362780533,0.39084554155573,8240
"55","E73600000",0.484467571976192,0.516717939957328,0.448997446013968,0.466181299605176,0.452939186336443,1840
"56","E73350000",0.346981267189901,0.360114429359537,0.329304981095206,0.315057572375232,0.330325664354996,1500
"57","E73300000",0.378646950820452,0.391417055984898,0.354992920749582,0.355894730628949,0.350560319314101,654
"58","E73330000",0.36110709058859,0.39408724175831,0.341241095985405,0.325411284864498,0.339252221200835,933
"59","E82320000",0.525731457809103,0.473334290813866,0.54146232312971,0.543391619698946,0.503289884164267,182
"60","E82350000",0.445657084096729,0.403773490111925,0.46808074286522,0.424618519854765,0.412403230284665,794
"61","E82370000",0.555847084401025,0.48985672348524,0.575267238811854,0.551901822850436,0.529733983714734,281
"62","E82549000",0.518731983939632,0.445480666530217,0.560444422430039,0.521257200206132,0.458599735130518,358
"63","E82770000",0.348066699559411,0.298073067859331,0.382995357086317,0.355939000369326,0.308326301331629,392
"64","E65094500",0.522725401611345,0.516671559523613,0.518381709186828,0.480599695157857,0.488863130125113,960
"65","E65095000",0.534028768960134,0.526233461279951,0.542619612099035,0.479005690397045,0.495078246914667,2610
"66","E65135000",0.588742846295782,0.541278857057402,0.592380288884157,0.549018230769657,0.573085392817882,605
"67","E74370000",0.570403933959619,0.59950912343063,0.526015260781242,0.523186774359448,0.548284926567528,2020
"68","E74470000",0.523572416595646,0.541421773461923,0.458662214551574,0.481616546354357,0.505057529533098,1540
"69","E84071000",0.589840951323732,0.54151157396108,0.638224357753026,0.538531170593025,0.551622492385253,1042
"70","E84095000",0.606904646039524,0.578206330009243,0.648935625514911,0.538923166182189,0.555883902284936,598
"71","E84095500",0.590001464086805,0.528694668595658,0.639771080505491,0.546536702808495,0.569513115112829,1964
"72","E84559800",0.519564194204599,0.417287303153385,0.548739238683402,0.579721364224123,0.485715032826394,1515
"73","E84520000",0.649697768998316,0.567267110446768,0.677456555001232,0.673499906093966,0.606174642715576,380
