"","meanlog","sdlog","meanlog","sdlog","meanlog","sdlog","meanlog","sdlog","meanlog","sdlog"
"E65135000",-4.13008631388823,0.722312308840138,-3.93861657889942,0.664192819919456,-4.2277737952589,0.702636910987875,-4.2740176327153,0.765036503843743,-4.07567310765913,0.704156483539687
"E74370000",-3.74228595156163,0.781264596480853,-3.91464816821162,0.663739532192748,-4.06992233569143,0.803304745121512,-3.51100018473655,0.767096891874339,-3.47395382823714,0.708223987616185
"E74470000",-3.94234036864105,0.8609165993107,-4.13538959284312,0.723027174148754,-4.30395419682941,0.890315928829211,-3.68348091084891,0.846138215372257,-3.64701988437239,0.77916575077539
"E84071000",-3.84830124997137,0.623639805766653,-3.66652571237393,0.604293024233983,-3.901777332687,0.495263702447134,-3.9884556519525,0.698163124049295,-3.83286574379868,0.634316843869426
"E84095000",-4.03860900985541,0.761585798800973,-3.90168453513277,0.615610946330479,-4.05893565042159,0.4876308636611,-4.14340763050106,0.89048080140911,-4.04793891899947,0.938052412578693
"E84095500",-3.84989466495403,0.636719149533209,-3.73602645040125,0.658299396883127,-3.90180748639505,0.581250422461422,-3.92037231049928,0.682041843767512,-3.83911742665312,0.604018287612847
"E84559800",-4.12645152389801,0.862215283398011,-3.86441046667878,0.938100099202845,-4.03429938033631,0.730903417956449,-4.37763451769813,0.748104651953474,-4.22563444818767,0.924565645371687
"E84520000",-3.61688166534049,0.515621569616937,-3.42899053166388,0.563376863895031,-3.57211065750281,0.43199738006548,-3.81728821377928,0.446860446982654,-3.64593577827641,0.532233328859354
"E84249998",-4.09741891639507,0.958577851934233,-3.66830237195621,0.81735548678529,-4.10915160083426,0.856837299052536,-4.61132023210932,1.02884813400628,-3.99171957601597,0.867314288114388
"E84300000",-3.91465838785019,0.864845705012896,-3.49694290990932,0.854919520073795,-3.88622187129413,0.748600857417944,-4.3387137988873,0.71872603579357,-3.92909230872521,0.912423482282029
"E84580000",-3.91516014001699,0.66601489768619,-3.60946994167921,0.707877738169269,-3.8734198076414,0.59441755259891,-4.21066773154503,0.552381158426879,-3.96186831531762,0.657869778492786
"E84551000",-3.58232235502431,0.856865441814331,-3.29974056143834,0.899081002093227,-3.5290837022036,0.762274455980054,-3.86185408158507,0.820232012863112,-3.63388162514867,0.844920860829928
"E84520010",-3.65187924881998,0.611611936670334,-3.40175012147835,0.631461776645569,-3.60807992000296,0.509199356857398,-3.91548209252432,0.55690989573563,-3.67780428622946,0.628752757576804
"E84560000",-3.82678663373481,0.758587733386908,-3.50431640961939,0.890085561889841,-3.73892418504286,0.650810501788615,-4.14167496392876,0.582178127927444,-3.91717689894862,0.730541825352125
"E84598002",-3.76493485746647,0.50922972062696,-3.59507175071503,0.622682295352274,-3.66629012963768,0.441125765225729,-3.93883570913329,0.396070062961228,-3.85736673011318,0.472588053795672
