ID,Estação,Estaçã_1,Latitude,Longitude,Altitude (,Área de d,Última at,Operando
203,82370000,RIO JARAGUÁ,-26.495277779999999,-49.088055560000001,37.000000000000000,281.000000000000000,29/9/2014,Sim
204,82549000,SCHROEDER,-26.439166669999999,-49.062777779999998,60.000000000000000,358.000000000000000,29/9/2014,Sim
206,83675000,ARROZEIRA,-26.741388890000000,-49.271111110000000,74.000000000000000,536.000000000000000,21/11/2014,Sim
208,83345000,BARRA DO PRATA,-26.698333330000001,-49.831111110000002,450.000000000000000,1430.000000000000000,18/6/2014,Sim
210,83029900,BARRAGEM TAIÓ MONTANTE,-27.039722220000002,-50.124166670000001,,648.000000000000000,29/9/2014,Sim
211,83660000,BENEDITO NOVO,-26.787500000000001,-49.364166670000003,90.000000000000000,717.000000000000000,18/6/2014,Sim
212,83800002,BLUMENAU  (PCD),-26.918611110000001,-49.065555560000000,12.000000000000000,11803.000000000000000,21/11/2014,Sim
213,83892998,BOTUVERA-MONTANTE,-27.197222220000000,-49.087777780000003,79.000000000000000,827.000000000000000,21/11/2014,Sim
214,83900000,BRUSQUE   (PCD),-27.100555560000000,-48.916666669999998,21.000000000000000,1240.000000000000000,21/11/2014,Sim
217,83440000,IBIRAMA,-27.053888890000000,-49.516666669999999,151.000000000000000,3330.000000000000000,1/9/2014,Sim
218,83690000,INDAIAL,-26.891111110000001,-49.234999999999999,60.000000000000000,9850.000000000000000,1/9/2014,Sim
219,83250000,ITUPORANGA,-27.398611110000001,-49.605833330000003,370.000000000000000,1650.000000000000000,29/9/2014,Sim
221,83880000,LUIZ ALVES,-26.721388890000000,-48.931666669999998,90.000000000000000,104.000000000000000,29/9/2014,Sim
224,83300200,RIO DO SUL - NOVO,-27.211944440000000,-49.631666670000001,350.000000000000000,5160.000000000000000,29/9/2014,Sim
225,83892990,SALSEIRO,-27.328333330000000,-49.328333330000000,,286.000000000000000,29/9/2014,Sim
226,83105000,SALTINHO,-27.683888889999999,-49.363055559999999,454.000000000000000,434.000000000000000,29/9/2014,Sim
227,83050000,TAIÓ,-27.113055559999999,-49.994444440000002,360.000000000000000,1570.000000000000000,29/9/2014,Sim
228,83677000,TIMBÓ NOVO,-26.829722220000001,-49.271944439999999,,1600.000000000000000,27/11/2014,Sim
229,83069900,VILA NOVA,-27.311388890000000,-49.796111109999998,,397.000000000000000,29/9/2014,Sim
230,83520000,WARNOW,-26.943611109999999,-49.289444439999997,72.000000000000000,9790.000000000000000,18/6/2014,Sim
232,84559800,BRACO DO NORTE-MONTANTE,-28.238888889999998,-49.163055559999997,68.000000000000000,1515.000000000000000,21/11/2014,Sim
233,84520000,DIVISA DE ANITAPOLIS,-27.995833330000000,-49.115833330000001,300.000000000000000,380.000000000000000,21/11/2014,Sim
236,84820000,FORQUILHINHA,-28.750555559999999,-49.473055559999999,40.000000000000000,526.000000000000000,18/6/2014,Sim
237,84853000,FOZ DO MANUEL ALVES,-28.853611109999999,-49.589722219999999,10.000000000000000,355.000000000000000,18/6/2014,Sim
238,84071000,MAJOR GERCINO,-27.414166670000000,-48.952777779999998,38.000000000000000,1042.000000000000000,21/11/2014,Sim
239,84095000,NOVA TRENTO,-27.285555559999999,-48.933333330000004,35.000000000000000,598.000000000000000,21/11/2014,Sim
240,84249998,ORLEANS - MONTANTE,-28.358888889999999,-49.295000000000002,100.000000000000000,599.000000000000000,18/6/2014,Sim
241,84300000,PEDRAS GRANDES,-28.434444440000000,-49.182777780000002,40.000000000000000,822.000000000000000,21/11/2014,Sim
242,84100000,POCO FUNDO,-27.704444440000000,-48.803333330000001,59.000000000000000,400.000000000000000,21/11/2014,Sim
244,84970000,PRAIA GRANDE,-29.195833329999999,-49.963333329999998,,339.000000000000000,18/6/2014,Sim
245,84580000,RIO DO POUSO,-28.420000000000002,-49.106944439999999,23.000000000000000,2740.000000000000000,21/11/2014,Sim
246,84551000,RIO PEQUENO,-28.212222220000001,-49.196111109999997,85.000000000000000,379.000000000000000,21/11/2014,Sim
247,84520010,SANTA ROSA DE LIMA,-28.033055560000001,-49.118611110000003,234.000000000000000,676.000000000000000,21/11/2014,Sim
248,84095500,SAO JOAO BATISTA,-27.274999999999999,-48.850000000000001,14.000000000000000,1964.000000000000000,21/11/2014,Sim
249,84560000,SÃO LUDGERO I,-28.325833329999998,-49.179166670000001,40.000000000000000,1690.000000000000000,18/6/2014,Sim
250,84598002,SAO MARTINHO-JUSANTE  (PCD),-28.165555560000001,-48.971666669999998,31.000000000000000,620.000000000000000,21/11/2014,Sim
251,84800000,SERRINHA - JUS 200 M - CASAN,-28.612222220000000,-49.551111110000001,114.000000000000000,119.000000000000000,18/6/2014,Sim
253,84949000,TURVO,-28.941944440000000,-49.701944439999998,30.000000000000000,359.000000000000000,18/6/2014,Sim
271,86100000,PASSO DO GABRIEL,-28.805555559999998,-50.494999999999997,580.000000000000000,1820.000000000000000,17/10/2014,Sim
273,86160000,PASSO TAINHAS,-28.868055559999998,-50.456111110000002,600.000000000000000,1120.000000000000000,17/10/2014,Sim
65,74270000,PASSO RIO DA VÁRZEA,,,240.000000000000000,5340.000000000000000,,
